start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-02-25,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-03-09,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-03-11,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-03-20,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-03-25,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-04-02,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-04-04,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-04-20,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-04-28,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-05-04,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-05-07,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-05-17,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New York (NY),40.712784,-74.005941000000007,1905-05-24,13.960129 50.97178 13.960129 50.97178,18
