start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,25-02-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,09-03-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,11-03-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,20-03-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,25-03-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,02-04-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,04-04-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,20-04-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,28-04-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,04-05-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,07-05-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,17-05-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,24-05-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,06-06-1905,13.960129 50.97178 13.960129 50.97178,18
DEU,Mockethal,50.97178,13.960129,USA,New,40.712784,-74.005941000000007,08-06-1905,13.960129 50.97178 13.960129 50.97178,18
USA,St,38.600423,-90.221624,DEU,Templin,53.116887,13.497969,25-11-1857,-90.221624 38.600423 -90.221624 38.600423,2
USA,Mobile,30.696441,-88.180356,DEU,Templin,53.116887,13.497969,18-01-1858,-88.180356 30.696441 -88.180356 30.696441,3
USA,Mobile,30.696441,-88.180356,DEU,Templin,53.116887,13.497969,21-03-1858,-88.180356 30.696441 -88.180356 30.696441,3
USA,Laevenworth,39.311111,-94.922464,DEU,Templin,53.116887,13.497969,02-05-1858,-94.922464 39.311111 -94.922464 39.311111,2
USA,St,38.600423,-90.221624,DEU,Templin,53.116887,13.497969,30-12-1858,-90.221624 38.600423 -90.221624 38.600423,2
USA,Park,43.919952,-94.70262,DEU,Templin,53.116887,13.497969,20-05-1860,-94.70262 43.919952 -94.70262 43.919952,1
USA,Lagrange,35.136443,-89.302732,DEU,Templin,53.116887,13.497969,02-08-1864,-89.302732 35.136443 -89.302732 35.136443,1
USA,Cairo,37.005329,-89.176461,DEU,Templin,53.116887,13.497969,12-09-1864,-89.176461 37.005329 -89.176461 37.005329,2
USA,Nashville,36.162664,-86.781602,DEU,Templin,53.116887,13.497969,30-12-1864,-86.781602 36.162664 -86.781602 36.162664,2
USA,Mobile,30.696441,-88.180356,DEU,Templin,53.116887,13.497969,24-03-1865,-88.180356 30.696441 -88.180356 30.696441,3
USA,Montgomery,32.366805,-86.299969,DEU,Templin,53.116887,13.497969,23-06-1865,-86.299969 32.366805 -86.299969 32.366805,3
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,16-09-1865,-81.218693 35.706522 -81.218693 35.706522,7
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,30-08-1867,-81.218693 35.706522 -81.218693 35.706522,7
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,28-06-1868,-81.218693 35.706522 -81.218693 35.706522,7
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,20-09-1868,-81.218693 35.706522 -81.218693 35.706522,7
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,28-03-1869,-81.218693 35.706522 -81.218693 35.706522,7
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,01-02-1870,-81.218693 35.706522 -81.218693 35.706522,7
